smiles,±Í«©,Caspase-3/7 HepG2,CYP1A2 Antag,CYP2C19 Antag,CYP2C9 Antag,CYP3A4 Antag,CYP3A7 Antag,ARE Agon,Mito Membrane Disrupt,ER Stress,ER-beta Agon,PPARg Agon,RAR Agon,ERR Antag,GR Antag,PPARd Antag,PPARg Antag,TR Antag,MDR-1,HPGD Inhib
CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C,1,,,,,,,,,,,,,,,,,,,
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,0,,,,,,,,,,,,,,,,,,,
C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,1,0,0,0,1,0,,,0,0,,,0,0,,,1,0,,0
CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,1,0,0,0,0,1,,0,0,,0,0,,0,0,0,0,0,1,
CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1,1,0,,,1,,,0,,0,,,1,0,,,,,
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,1,0,1,1,1,1,1,,,0,0,0,0,1,,0,0,1,1,0
CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,1,,,,,,,,,,,,,,,,,,,0
C(=O)(N)NO,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,1,0,0,,0,0,1,,0,0,0,,0,0,,0,,,,0
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,1,,,,,,1,,,,,,,,,,,,,0
CC(C)NNC(=O)C1=CC=NC=C1,1,,,,,,,,,,,,,,,,,,,0
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,1,0,1,1,1,0,,,,0,0,0,,1,0,,,,,
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,1,1,1,1,1,1,1,1,0,,0,0,,1,0,,,,1,0
CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,1,,,,,,,,,,,,,,,,,,,
CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,1,,1,1,1,1,,1,,,0,0,1,0,0,,0,,0,0
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,1,0,1,0,1,0,1,,0,0,0,0,0,0,0,0,1,1,,0
CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,1,0,,0,1,,1,,0,0,0,0,0,0,0,,,0,,0
CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,1,,,,,,,,,,,,,,,,,,,
CN(C)C(=N)N=C(N)N,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0
CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,1,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,
C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)O)C(=O)O)C(=O)O)O,1,,,,,,,,,,,,,,,,,,,
C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],1,0,0,1,0,0,1,1,0,0,0,,0,1,,0,,0,1,0
C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,1,,1,0,0,,1,,0,0,0,,0,0,,,,,,
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,1,,,,,,,,,,,,,,,,,,,
CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0,0,,1,1,,0,1,0,0,0,0,0,0,,0,0,0,,0
C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,1,,,,,,,,,,,,,,,,,,,
CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,1,,,,,,,,,,,,,,,,,,,
CCCC1=CC(=O)NC(=S)N1,1,0,,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,0
CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,
CC(C(C1=CC=CC=C1)O)NC,0,,,,,,,,,,,,,,,,,,,
CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,1,,,,,,,,,,,,,,,,,,,
CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,,0,0,,0
CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,1,0,,,1,1,1,1,0,0,0,0,0,0,0,,,0,1,
